iter	Passed	Remaining
0	214	214757
1	248	124185
2	284	94496
3	317	79144
4	376	74885
5	412	68397
6	441	62604
7	472	58556
8	496	54698
9	521	51639
10	545	49035
11	581	47880
12	605	45967
13	648	45675
14	731	48066
15	790	48617
16	835	48340
17	956	52200
18	1018	52567
19	1083	53108
20	1158	53995
21	1216	54077
22	1289	54761
23	1470	59810
24	1544	60235
25	1603	60052
26	1696	61127
27	1827	63454
28	1930	64623
29	2022	65407
30	2105	65805
31	2221	67209
32	2327	68212
33	2453	69710
34	2537	69951
35	2640	70704
36	2772	72171
37	2833	71734
38	2880	70979
39	2948	70757
40	3009	70395
41	3093	70566
42	3288	73199
43	3391	73695
44	3512	74549
45	3648	75658
46	3738	75800
47	3823	75834
48	3928	76251
49	3995	75910
50	4079	75903
51	4156	75782
52	4225	75501
53	4325	75781
54	4413	75833
55	4493	75744
56	4572	75645
57	4662	75720
58	4746	75702
59	4825	75591
60	4872	75009
61	4959	75028
62	5019	74648
63	5061	74022
64	5095	73303
65	5142	72778
66	5201	72436
67	5246	71902
68	5282	71278
69	5311	70561
70	5334	69795
71	5397	69573
72	5446	69167
73	5510	68949
74	5569	68694
75	5617	68292
76	5659	67839
77	5703	67419
78	5742	66944
79	5786	66542
80	5824	66086
81	5889	65938
82	5940	65630
83	5984	65255
84	6022	64835
85	6050	64303
86	6075	63755
87	6132	63553
88	6157	63031
89	6188	62577
90	6215	62091
91	6240	61593
92	6278	61232
93	6308	60805
94	6344	60441
95	6368	59974
96	6429	59852
97	6486	59705
98	6510	59255
99	6533	58804
100	6563	58422
101	6592	58037
102	6618	57639
103	6656	57351
104	6693	57056
105	6754	56968
106	6857	57233
107	6927	57216
108	6989	57135
109	7052	57061
110	7112	56964
111	7200	57090
112	7252	56926
113	7305	56777
114	7384	56828
115	7445	56738
116	7504	56633
117	7552	56453
118	7615	56380
119	7682	56338
120	7743	56252
121	7799	56130
122	7865	56082
123	7934	56052
124	8011	56083
125	8053	55864
126	8112	55763
127	8203	55887
128	8278	55895
129	8319	55676
130	8372	55536
131	8414	55333
132	8490	55346
133	8577	55434
134	8630	55298
135	8680	55145
136	8704	54832
137	8746	54634
138	8840	54760
139	8913	54754
140	8952	54538
141	8977	54247
142	9019	54051
143	9081	53983
144	9146	53933
145	9207	53860
146	9268	53785
147	9308	53585
148	9332	53303
149	9367	53083
150	9416	52946
151	9474	52857
152	9562	52935
153	9605	52767
154	9665	52694
155	9756	52785
156	9847	52874
157	9910	52815
158	9957	52668
159	10015	52583
160	10079	52528
161	10182	52669
162	10227	52518
163	10292	52465
164	10352	52389
165	10407	52287
166	10434	52045
167	10481	51907
168	10541	51832
169	10601	51760
170	10663	51697
171	10707	51547
172	10784	51551
173	10832	51424
174	10877	51277
175	10930	51173
176	10975	51034
177	11021	50895
178	11093	50883
179	11184	50950
180	11239	50857
181	11286	50727
182	11375	50785
183	11438	50728
184	11481	50579
185	11543	50516
186	11630	50564
187	11679	50445
188	11724	50308
189	11755	50114
190	11811	50030
191	11854	49888
192	11893	49731
193	11920	49525
194	11954	49352
195	11994	49202
196	12034	49055
197	12080	48932
198	12121	48792
199	12166	48665
200	12190	48459
201	12219	48274
202	12255	48116
203	12281	47920
204	12304	47716
205	12366	47663
206	12414	47560
207	12473	47495
208	12515	47367
209	12559	47247
210	12602	47123
211	12638	46976
212	12682	46860
213	12719	46718
214	12748	46548
215	12784	46403
216	12810	46225
217	12867	46158
218	12891	45973
219	12916	45795
220	12951	45651
221	12979	45486
222	13008	45326
223	13032	45147
224	13072	45028
225	13126	44955
226	13154	44795
227	13179	44626
228	13214	44490
229	13243	44338
230	13278	44205
231	13304	44041
232	13338	43909
233	13366	43756
234	13401	43627
235	13430	43476
236	13464	43347
237	13493	43201
238	13530	43080
239	13574	42984
240	13609	42860
241	13639	42721
242	13673	42596
243	13701	42452
244	13741	42346
245	13772	42213
246	13799	42067
247	13823	41915
248	13847	41763
249	13886	41658
250	13910	41510
251	13947	41400
252	13989	41304
253	14051	41270
254	14097	41187
255	14135	41082
256	14162	40944
257	14200	40840
258	14224	40696
259	14260	40587
260	14285	40447
261	14321	40339
262	14347	40204
263	14369	40060
264	14401	39945
265	14428	39815
266	14493	39789
267	14533	39696
268	14565	39582
269	14592	39453
270	14619	39328
271	14651	39215
272	14744	39264
273	14841	39324
274	14913	39316
275	14974	39281
276	15035	39244
277	15097	39210
278	15135	39114
279	15159	38981
280	15184	38853
281	15216	38741
282	15240	38613
283	15275	38512
284	15300	38385
285	15324	38257
286	15362	38165
287	15395	38062
288	15420	37938
289	15450	37827
290	15477	37710
291	15502	37588
292	15527	37466
293	15562	37370
294	15588	37252
295	15623	37158
296	15666	37082
297	15691	36964
298	15715	36845
299	15754	36760
300	15813	36724
301	15862	36662
302	15904	36585
303	15945	36507
304	15987	36430
305	16028	36352
306	16089	36319
307	16149	36284
308	16187	36199
309	16256	36184
310	16298	36107
311	16333	36016
312	16363	35915
313	16397	35824
314	16424	35717
315	16461	35632
316	16489	35527
317	16524	35438
318	16553	35337
319	16589	35252
320	16631	35181
321	16656	35071
322	16709	35023
323	16736	34920
324	16761	34811
325	16797	34729
326	16822	34622
327	16859	34542
328	16886	34439
329	16925	34364
330	16981	34321
331	17048	34302
332	17116	34283
333	17157	34211
334	17194	34133
335	17218	34027
336	17260	33956
337	17301	33886
338	17356	33842
339	17398	33773
340	17465	33752
341	17568	33800
342	17617	33744
343	17673	33702
344	17715	33634
345	17755	33560
346	17802	33501
347	17842	33429
348	17881	33354
349	17908	33259
350	17944	33179
351	18011	33157
352	18064	33109
353	18114	33055
354	18174	33020
355	18221	32962
356	18264	32896
357	18327	32866
358	18371	32803
359	18422	32751
360	18504	32753
361	18636	32845
362	18798	32987
363	18984	33170
364	19052	33146
365	19093	33074
366	19192	33102
367	19234	33033
368	19261	32937
369	19362	32969
370	19402	32895
371	19507	32932
372	19630	32998
373	19778	33105
374	19881	33135
375	19944	33098
376	20028	33097
377	20066	33019
378	20219	33129
379	20342	33190
380	20450	33226
381	20611	33344
382	20823	33546
383	20887	33507
384	20955	33474
385	21262	33822
386	21563	34155
387	21689	34211
388	21815	34265
389	21876	34217
390	21912	34130
391	21955	34053
392	22084	34110
393	22136	34047
394	22166	33950
395	22205	33869
396	22238	33778
397	22288	33712
398	22324	33626
399	22354	33531
400	22395	33453
401	22433	33371
402	22503	33336
403	22629	33383
404	22708	33362
405	22820	33387
406	22876	33330
407	22917	33253
408	22959	33176
